case,pressure_Pa,step,time_s,T_sim_K,P_sim_Pa,mean_speed_sim,collisions_total,nu_meas,mfp_meas,n_theory,nu_theory,mfp_theory,mean_speed_theory,N_real,weight
p000_1.0e-06Pa,1.00E-06,300,0.00602,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,310,0.00622,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,320,0.00642,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,330,0.00662,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,340,0.00682,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,350,0.00702,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,360,0.00722,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,370,0.00742,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,380,0.00762,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,390,0.00782,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,400,0.00802,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,410,0.00822,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,420,0.00842,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,430,0.00862,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,440,0.00882,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,450,0.00902,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,460,0.00922,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,470,0.00942,294.2956369,2.02E-06,471.3318097,0,0,,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
