NaN, NaN
10, 0.11131348952271725
20, 0.16218847593898933
30, 0.2359086640284649
40.00000000000003, 0.30249221545944294
50.00000000000003, 0.382387077182188
59.99999999999997, 0.44533917547730617
70.00000000000003, 0.49154287086909165
80, 0.5422166675604645
90, 0.6062436030004099
100, 0.6750160576564623
110.00000000000006, 0.7437717510277104
120, 0.8332671597931354
130, 0.8760820963086524
140.00000000000006, 0.9328954386856141
150, 0.9759902074337325
160, 1.0462845115818484
170, 1.1156427948543202
180, 1.182865969472593
190.00000000000006, 1.2451593404330616
200, 1.3117222953442607
210, 1.3754325759400188
220.00000000000006, 1.439064822284307
230.00000000000006, 1.5024088391282473
240.00000000000006, 1.565089430161888
250, 1.6383982847747032
260, 1.6949020182069294
270, 1.7660752674644653
279.99999999999994, 1.8222284422463388
289.99999999999994, 1.8942033063831933
300, 1.9562283571569568
